Timestamp_s,Setpoint,Feedback_kPa,PWM_Main,PWM_Aux,Mode,Error_kPa
177.3248,0.0000,-38.1437,255,255,0,70.1000
177.3449,0.0000,-38.1437,255,255,0,70.1000
177.3651,0.0000,-38.1437,255,255,0,70.1000
177.3849,0.0000,-38.1437,255,255,0,70.1000
177.4052,0.0000,-38.1437,255,255,0,70.1000
177.4254,0.0000,-38.1437,255,255,0,70.1000
177.4453,0.0000,-38.1437,255,255,0,70.1000
177.4650,0.0000,-38.1437,255,255,0,70.1000
177.4851,0.0000,-38.1437,255,255,0,70.1000
177.5053,0.0000,-38.1437,255,255,0,70.1000
177.5255,0.0000,-38.1437,255,255,0,70.1000
177.5451,0.0000,-38.1437,255,255,0,70.1000
177.5654,0.0000,-38.1437,255,255,0,70.1000
177.5855,0.0000,-38.1437,255,255,0,70.1000
177.6053,0.0000,-38.1437,255,255,0,70.1000
177.6250,0.0000,-38.1437,255,255,0,70.1000
177.6448,0.0000,-38.1437,255,255,0,70.1000
177.6654,0.0000,-38.1437,255,255,0,70.1000
177.6855,0.0000,-38.1437,255,255,0,70.1000
177.7053,0.0000,-38.1437,255,255,0,70.1000
177.7250,0.0000,-38.1437,255,255,0,70.1000
177.7455,0.0000,-38.1437,255,255,0,70.1000
177.7651,0.0000,-38.1437,255,255,0,70.1000
177.7848,0.0000,-38.1437,255,255,0,70.1000
177.8053,0.0000,-38.1437,255,255,0,70.1000
177.8252,0.0000,-38.1437,255,255,0,70.1000
177.8447,0.0000,-38.1437,255,255,0,70.1000
177.8648,0.0000,-38.1437,255,255,0,70.1000
177.8847,0.0000,-38.1437,255,255,0,70.1000
177.9062,0.0000,-38.1437,255,255,0,70.1000
177.9250,0.0000,-38.1437,255,255,0,70.1000
177.9449,0.0000,-38.1437,255,255,0,70.1000
177.9646,0.0000,-38.1437,255,255,0,70.1000
177.9846,0.0000,-38.1437,255,255,0,70.1000
178.0047,0.0000,-38.1437,255,255,0,70.1000
178.0248,0.0000,-38.1437,255,255,0,70.1000
178.0446,0.0000,-38.1437,255,255,0,70.1000
178.0646,0.0000,-38.1437,255,255,0,70.1000
178.0848,0.0000,-38.1437,255,255,0,70.1000
178.1049,0.0000,-38.1437,255,255,0,70.1000
178.1255,0.0000,-38.1437,255,255,0,70.1000
178.1456,0.0000,-38.1437,255,255,0,70.1000
178.1653,0.0000,-38.1437,255,255,0,70.1000
178.1856,0.0000,-38.1437,255,255,0,70.1000
178.2055,0.0000,-38.1437,255,255,0,70.1000
178.2252,0.0000,-38.1437,255,255,0,70.1000
178.2453,0.0000,-38.1437,255,255,0,70.1000
178.2653,0.0000,-38.1437,255,255,0,70.1000
178.2849,0.0000,-38.1437,255,255,0,70.1000
178.3055,0.0000,-38.1437,255,255,0,70.1000
178.3253,0.0000,-38.1437,255,255,0,70.1000
178.3451,0.0000,-38.1437,255,255,0,70.1000
178.3647,0.0000,-38.1437,255,255,0,70.1000
178.3849,0.0000,-38.1437,255,255,0,70.1000
178.4055,0.0000,-38.1437,255,255,0,70.1000
178.4250,0.0000,-38.1437,255,255,0,70.1000
178.4454,0.0000,-38.1437,255,255,0,70.1000
178.4646,0.0000,-38.1437,255,255,0,70.1000
178.4855,0.0000,-38.1437,255,255,0,70.1000
178.5049,0.0000,-38.1437,255,255,0,70.1000
178.5258,0.0000,-38.1437,255,255,0,70.1000
178.5447,0.0000,-38.1437,255,255,0,70.1000
178.5650,0.0000,-38.1437,255,255,0,70.1000
178.5852,0.0000,-38.1437,255,255,0,70.1000
178.6048,0.0000,-38.1437,255,255,0,70.1000
178.6253,0.0000,-38.1437,255,255,0,70.1000
178.6450,0.0000,-38.1437,255,255,0,70.1000
178.6654,0.0000,-38.1437,255,255,0,70.1000
178.6847,0.0000,-38.1437,255,255,0,70.1000
178.7056,0.0000,-38.1437,255,255,0,70.1000
178.7254,0.0000,-38.1437,255,255,0,70.1000
178.7450,0.0000,-38.1437,255,255,0,70.1000
178.7649,0.0000,-38.1437,255,255,0,70.1000
178.7855,0.0000,-38.1437,255,255,0,70.1000
178.8056,0.0000,-38.1437,255,255,0,70.1000
178.8252,0.0000,-38.1437,255,255,0,70.1000
178.8452,0.0000,-38.1437,255,255,0,70.1000
178.8648,0.0000,-38.1437,255,255,0,70.1000
178.8851,0.0000,-38.1437,255,255,0,70.1000
178.9046,0.0000,-38.1437,255,255,0,70.1000
178.9248,0.0000,-38.1437,255,255,0,70.1000
178.9446,0.0000,-38.1437,255,255,0,70.1000
178.9646,0.0000,-38.1437,255,255,0,70.1000
178.9846,0.0000,-38.1437,255,255,0,70.1000
179.0048,0.0000,-38.1437,255,255,0,70.1000
179.0253,0.0000,-38.1437,255,255,0,70.1000
179.0455,0.0000,-38.1437,255,255,0,70.1000
179.0651,0.0000,-38.1437,255,255,0,70.1000
179.0846,0.0000,-38.1437,255,255,0,70.1000
179.1055,0.0000,-38.1437,255,255,0,70.1000
179.1254,0.0000,-38.1437,255,255,0,70.1000
179.1451,0.0000,-38.1437,255,255,0,70.1000
179.1653,0.0000,-38.1437,255,255,0,70.1000
179.1848,0.0000,-38.1437,255,255,0,70.1000
179.2055,0.0000,-38.1437,255,255,0,70.1000
179.2249,0.0000,-38.1437,255,255,0,70.1000
179.2449,0.0000,-38.1437,255,255,0,70.1000
179.2652,0.0000,-38.1437,255,255,0,70.1000
179.2853,0.0000,-38.1437,255,255,0,70.1000
179.3052,0.0000,-38.1437,255,255,0,70.1000
179.3255,0.0000,-38.1437,255,255,0,70.1000
179.3455,0.0000,-38.1437,255,255,0,70.1000
179.3646,0.0000,-38.1437,255,255,0,70.1000
179.3854,0.0000,-38.1437,255,255,0,70.1000
179.4049,0.0000,-38.1437,255,255,0,70.1000
179.4251,0.0000,-38.1437,255,255,0,70.1000
179.4453,0.0000,-38.1437,255,255,0,70.1000
179.4649,0.0000,-38.1437,255,255,0,70.1000
179.4852,0.0000,-38.1437,255,255,0,70.1000
179.5054,0.0000,-38.1437,255,255,0,70.1000
179.5255,0.0000,-38.1437,255,255,0,70.1000
179.5449,0.0000,-38.1437,255,255,0,70.1000
179.5647,0.0000,-38.1437,255,255,0,70.1000
179.5855,0.0000,-38.1437,255,255,0,70.1000
179.6047,0.0000,-38.1437,255,255,0,70.1000
179.6256,0.0000,-38.1437,255,255,0,70.1000
179.6454,0.0000,-38.1437,255,255,0,70.1000
179.6655,0.0000,-38.1437,255,255,0,70.1000
179.6848,0.0000,-38.1437,255,255,0,70.1000
179.7051,0.0000,-38.1437,255,255,0,70.1000
179.7257,0.0000,-38.1437,255,255,0,70.1000
179.7452,0.0000,-38.1437,255,255,0,70.1000
179.7656,0.0000,-38.1437,255,255,0,70.1000
