Time,Target,Pressure,PWM
0.000,35.0,1.71,0
0.020,35.0,1.71,0
0.041,35.0,1.63,255
0.061,35.0,3.20,255
0.081,35.0,7.83,255
0.101,35.0,8.56,255
0.121,35.0,9.15,255
0.141,35.0,9.77,255
0.161,35.0,10.41,255
0.182,35.0,10.86,255
0.202,35.0,11.52,255
0.222,35.0,12.15,255
0.243,35.0,12.61,255
0.263,35.0,13.07,255
0.284,35.0,13.67,255
0.304,35.0,14.08,255
0.324,35.0,14.58,255
0.345,35.0,15.07,255
0.365,35.0,15.46,255
0.385,35.0,15.94,255
0.405,35.0,16.36,255
0.425,35.0,16.36,255
0.446,35.0,16.76,255
0.466,35.0,17.29,255
0.486,35.0,17.56,255
0.506,35.0,18.01,255
0.526,35.0,18.33,255
0.547,35.0,18.75,255
0.567,35.0,19.05,255
0.587,35.0,19.39,255
0.607,35.0,19.74,255
0.627,35.0,19.99,255
0.647,35.0,20.39,255
0.668,35.0,20.64,255
0.688,35.0,20.90,255
0.708,35.0,21.21,255
0.728,35.0,21.40,255
0.748,35.0,21.78,255
0.768,35.0,21.97,255
0.788,35.0,22.19,255
0.808,35.0,22.43,255
0.828,35.0,22.69,255
0.849,35.0,22.92,255
0.869,35.0,23.16,255
0.889,35.0,23.39,255
0.910,35.0,23.39,255
0.930,35.0,23.53,255
0.950,35.0,23.79,255
0.970,35.0,23.93,255
0.991,35.0,24.12,255
1.011,35.0,24.31,255
1.031,35.0,24.48,255
1.051,35.0,24.73,255
1.071,35.0,24.82,255
1.091,35.0,24.98,255
1.112,35.0,25.12,255
1.132,35.0,25.33,255
1.152,35.0,25.42,255
1.172,35.0,25.55,255
1.192,35.0,25.69,255
1.212,35.0,25.79,255
1.232,35.0,25.98,255
1.252,35.0,26.04,255
1.273,35.0,26.26,255
1.293,35.0,26.34,255
1.313,35.0,26.43,255
1.333,35.0,26.59,255
1.353,35.0,26.64,255
1.373,35.0,26.83,255
1.393,35.0,26.83,255
1.414,35.0,26.94,255
1.434,35.0,27.09,255
1.454,35.0,27.41,255
1.475,35.0,27.60,255
1.495,35.0,27.93,255
1.515,35.0,28.09,255
1.535,35.0,28.39,255
1.555,35.0,28.67,255
1.575,35.0,28.83,255
1.596,35.0,29.16,255
1.616,35.0,29.39,255
1.636,35.0,29.57,255
1.656,35.0,29.83,255
1.676,35.0,29.98,255
1.697,35.0,30.21,100
1.717,35.0,30.42,124
1.737,35.0,30.40,152
1.757,35.0,30.39,152
1.777,35.0,30.26,180
1.797,35.0,30.15,210
1.818,35.0,30.13,241
1.838,35.0,30.08,255
1.858,35.0,30.13,255
1.878,35.0,30.23,255
1.899,35.0,30.38,255
1.919,35.0,30.38,255
1.940,35.0,30.50,255
1.960,35.0,30.72,255
1.980,35.0,30.85,255
2.000,35.0,30.98,255
2.021,35.0,31.24,255
2.041,35.0,31.32,255
2.061,35.0,31.58,255
2.081,35.0,31.67,255
2.101,35.0,31.84,255
2.122,35.0,32.03,255
2.142,35.0,32.14,255
2.162,35.0,32.34,255
2.182,35.0,32.40,255
2.202,35.0,32.66,255
2.222,35.0,32.70,255
2.243,35.0,32.89,255
2.264,35.0,32.99,255
2.284,35.0,33.04,255
2.304,35.0,33.23,255
2.324,35.0,33.30,255
2.344,35.0,33.51,255
2.365,35.0,33.56,255
2.386,35.0,33.64,255
2.406,35.0,33.83,255
2.427,35.0,33.84,255
2.448,35.0,34.12,255
2.468,35.0,34.12,255
2.489,35.0,34.01,255
2.509,35.0,34.21,255
2.529,35.0,34.24,255
2.549,35.0,34.38,255
2.570,35.0,34.48,255
2.590,35.0,34.49,255
2.610,35.0,34.61,255
2.631,35.0,34.61,255
2.651,35.0,34.73,255
2.671,35.0,34.77,255
2.691,35.0,34.89,255
2.711,35.0,34.98,255
2.732,35.0,34.99,255
2.752,35.0,35.12,252
2.772,35.0,35.08,252
2.792,35.0,35.20,249
2.812,35.0,35.22,248
2.832,35.0,35.34,244
2.853,35.0,35.36,241
2.873,35.0,35.35,241
2.894,35.0,35.35,239
2.914,35.0,35.38,237
2.934,35.0,35.39,235
2.954,35.0,35.34,232
2.974,35.0,35.27,231
2.995,35.0,35.27,230
3.015,35.0,35.31,228
3.035,35.0,35.19,228
3.055,35.0,35.13,228
3.076,35.0,35.08,229
3.096,35.0,34.98,230
3.116,35.0,35.01,230
3.136,35.0,34.80,234
3.157,35.0,34.78,236
3.177,35.0,34.82,236
3.197,35.0,34.68,240
3.218,35.0,34.63,243
3.238,35.0,34.58,247
3.258,35.0,34.58,249
3.278,35.0,34.58,252
3.298,35.0,34.60,254
3.318,35.0,34.60,255
3.338,35.0,34.61,255
3.358,35.0,34.53,255
3.379,35.0,34.62,255
3.399,35.0,34.63,255
3.419,35.0,34.72,255
3.439,35.0,34.76,255
3.460,35.0,34.82,255
3.480,35.0,34.76,255
3.500,35.0,34.83,255
3.521,35.0,34.89,255
3.541,35.0,34.89,255
3.561,35.0,34.86,255
3.581,35.0,34.99,255
3.601,35.0,34.93,255
3.622,35.0,35.05,253
3.642,35.0,34.96,255
3.662,35.0,35.05,253
3.682,35.0,35.05,253
3.702,35.0,35.12,251
3.723,35.0,35.11,251
3.743,35.0,35.08,251
3.763,35.0,35.07,251
3.783,35.0,35.04,251
3.803,35.0,35.15,248
3.823,35.0,35.14,248
3.843,35.0,35.15,247
3.864,35.0,35.15,246
3.884,35.0,35.08,246
3.904,35.0,35.05,246
3.924,35.0,35.04,246
3.944,35.0,35.07,246
3.965,35.0,35.07,245
3.985,35.0,35.06,245
