Kp_Neg,Ki_Neg,Rise_Time_s,Overshoot_kPa
-60.0,-800.0,0.4195749759674072,11.94
-60.0,-1200.0,0.41736292839050293,11.95
-60.0,-1600.0,0.4077305793762207,12.21
-60.0,-2000.0,0.1620640754699707,6.60
-80.0,-800.0,0.14186835289001465,4.49
-80.0,-1200.0,0.41544413566589355,11.79
-80.0,-1600.0,0.4173009395599365,12.14
-80.0,-2000.0,0.4233286380767822,12.34
-100.0,-800.0,0.40824103355407715,10.88
-100.0,-1200.0,0.42340517044067383,11.66
-100.0,-1600.0,0.41663432121276855,11.89
-100.0,-2000.0,0.4149341583251953,12.31
-120.0,-800.0,0.41642117500305176,10.59
-120.0,-1200.0,0.41841650009155273,11.45
-120.0,-1600.0,0.4199662208557129,11.92
-120.0,-2000.0,0.39652276039123535,11.96
