Time,Target,Pressure,PWM
0.000,35.0,-3.11,0
0.021,35.0,-3.04,0
0.041,35.0,-2.98,255
0.061,35.0,-2.94,255
0.081,35.0,-2.56,255
0.101,35.0,-1.66,255
0.122,35.0,-0.92,255
0.142,35.0,-0.06,255
0.162,35.0,0.81,255
0.182,35.0,1.61,255
0.202,35.0,2.38,255
0.222,35.0,2.38,255
0.243,35.0,3.08,255
0.263,35.0,3.77,255
0.283,35.0,4.44,255
0.303,35.0,5.13,255
0.324,35.0,5.81,255
0.344,35.0,6.51,255
0.364,35.0,7.22,255
0.384,35.0,7.77,255
0.404,35.0,8.34,255
0.424,35.0,8.95,255
0.445,35.0,9.64,255
0.465,35.0,10.11,255
0.485,35.0,10.67,255
0.505,35.0,11.33,255
0.525,35.0,11.83,255
0.545,35.0,12.31,255
0.565,35.0,12.91,255
0.585,35.0,13.36,255
0.605,35.0,13.79,255
0.625,35.0,14.37,255
0.645,35.0,14.75,255
0.666,35.0,15.22,255
0.686,35.0,15.73,255
0.706,35.0,15.73,255
0.726,35.0,16.04,255
0.746,35.0,16.57,255
0.767,35.0,16.94,255
0.787,35.0,17.23,255
0.807,35.0,17.74,255
0.827,35.0,18.10,255
0.847,35.0,18.51,255
0.868,35.0,18.81,255
0.888,35.0,19.24,255
0.908,35.0,19.56,255
0.928,35.0,19.93,255
0.948,35.0,20.26,255
0.968,35.0,20.53,255
0.988,35.0,20.91,255
1.009,35.0,21.16,255
1.029,35.0,21.53,255
1.049,35.0,21.80,255
1.069,35.0,22.12,255
1.089,35.0,22.40,255
1.109,35.0,22.64,255
1.129,35.0,22.91,255
1.149,35.0,23.12,255
1.170,35.0,23.44,255
1.190,35.0,23.63,255
1.211,35.0,23.93,255
1.231,35.0,23.93,255
1.251,35.0,24.08,255
1.271,35.0,24.34,255
1.292,35.0,24.53,255
1.312,35.0,24.76,255
1.332,35.0,24.97,255
1.352,35.0,25.12,255
1.373,35.0,25.43,255
1.393,35.0,25.54,255
1.413,35.0,25.78,255
1.433,35.0,25.86,255
1.453,35.0,26.07,255
1.473,35.0,26.19,255
1.493,35.0,26.38,255
1.513,35.0,26.55,255
1.534,35.0,26.67,255
1.554,35.0,26.85,255
1.574,35.0,26.92,255
1.594,35.0,27.09,255
1.614,35.0,27.21,255
1.634,35.0,27.37,255
1.654,35.0,27.48,255
1.675,35.0,27.56,255
1.695,35.0,27.72,255
1.715,35.0,27.74,255
1.735,35.0,27.74,255
1.755,35.0,27.89,255
1.775,35.0,28.01,255
1.796,35.0,28.16,255
1.816,35.0,28.16,255
1.836,35.0,28.28,255
1.856,35.0,28.41,255
1.877,35.0,28.44,255
1.897,35.0,28.62,255
1.917,35.0,28.64,255
1.937,35.0,28.73,255
1.957,35.0,28.82,255
1.978,35.0,28.85,255
1.998,35.0,29.03,255
2.018,35.0,29.01,255
2.038,35.0,29.16,255
2.058,35.0,29.08,255
2.078,35.0,29.17,255
2.098,35.0,29.26,255
2.118,35.0,29.36,255
2.139,35.0,29.36,255
2.160,35.0,29.42,255
2.180,35.0,29.49,255
2.200,35.0,29.49,255
2.220,35.0,29.49,255
2.241,35.0,29.56,255
2.261,35.0,29.49,255
2.281,35.0,29.48,255
2.301,35.0,29.50,255
2.322,35.0,29.44,255
2.342,35.0,29.56,255
2.362,35.0,29.45,255
2.382,35.0,29.51,255
2.402,35.0,29.48,255
2.422,35.0,29.44,255
2.442,35.0,29.51,255
2.462,35.0,29.49,255
2.483,35.0,29.52,255
2.503,35.0,29.41,255
2.523,35.0,29.49,255
2.543,35.0,29.48,255
2.563,35.0,29.47,255
2.583,35.0,29.49,255
2.603,35.0,29.41,255
2.623,35.0,29.49,255
2.644,35.0,29.41,255
2.664,35.0,29.47,255
2.684,35.0,29.47,255
2.705,35.0,29.45,255
2.725,35.0,29.45,255
2.745,35.0,29.45,255
2.765,35.0,29.41,255
2.785,35.0,29.48,255
2.806,35.0,29.44,255
2.826,35.0,29.44,255
2.846,35.0,29.43,255
2.866,35.0,29.42,255
2.887,35.0,29.49,255
2.907,35.0,29.41,255
2.927,35.0,29.49,255
2.947,35.0,29.43,255
2.967,35.0,29.42,255
2.987,35.0,29.43,255
3.007,35.0,29.42,255
3.028,35.0,29.49,255
3.048,35.0,29.43,255
3.068,35.0,29.39,255
3.088,35.0,29.43,255
3.108,35.0,29.34,255
3.128,35.0,29.48,255
3.148,35.0,29.39,255
3.169,35.0,29.45,255
3.189,35.0,29.37,255
3.209,35.0,29.41,255
3.229,35.0,29.41,255
3.249,35.0,29.41,255
3.269,35.0,29.43,255
3.290,35.0,29.41,255
3.310,35.0,29.35,255
3.330,35.0,29.43,255
3.351,35.0,29.37,255
3.371,35.0,29.40,255
3.391,35.0,29.41,255
3.411,35.0,29.39,255
3.431,35.0,29.43,255
3.451,35.0,29.41,255
3.471,35.0,29.43,255
3.492,35.0,29.39,255
3.512,35.0,29.38,255
3.532,35.0,29.36,255
3.552,35.0,29.35,255
3.572,35.0,29.35,255
3.593,35.0,29.36,255
3.613,35.0,29.42,255
3.633,35.0,29.36,255
3.653,35.0,29.38,255
3.673,35.0,29.36,255
3.693,35.0,29.31,255
3.713,35.0,29.42,255
3.734,35.0,29.33,255
3.754,35.0,29.33,255
3.774,35.0,29.38,255
3.794,35.0,29.31,255
3.814,35.0,29.36,255
3.835,35.0,29.34,255
3.855,35.0,29.34,255
3.875,35.0,29.40,255
3.895,35.0,29.31,255
3.916,35.0,29.35,255
3.936,35.0,29.29,255
3.956,35.0,29.33,255
3.976,35.0,29.34,255
3.996,35.0,29.36,255
4.016,35.0,29.34,255
4.036,35.0,29.28,255
4.056,35.0,29.35,255
4.077,35.0,29.30,255
4.097,35.0,29.33,255
4.118,35.0,29.29,255
4.139,35.0,29.34,255
4.160,35.0,29.29,255
4.181,35.0,29.29,255
4.201,35.0,29.36,255
4.221,35.0,29.31,255
4.242,35.0,29.36,255
4.262,35.0,29.29,255
4.282,35.0,29.28,255
4.302,35.0,29.33,255
4.322,35.0,29.28,255
4.342,35.0,29.28,255
4.363,35.0,29.35,255
4.383,35.0,29.30,255
4.403,35.0,29.31,255
4.423,35.0,29.30,255
4.444,35.0,29.28,255
4.464,35.0,29.34,255
4.484,35.0,29.29,255
4.504,35.0,29.33,255
4.524,35.0,29.28,255
4.545,35.0,29.31,255
4.565,35.0,29.27,255
4.585,35.0,29.31,255
4.605,35.0,29.30,255
4.625,35.0,29.29,255
4.645,35.0,29.34,255
4.666,35.0,29.28,255
4.686,35.0,29.28,255
4.706,35.0,29.24,255
4.726,35.0,29.30,255
4.746,35.0,29.30,255
4.767,35.0,29.29,255
4.787,35.0,29.27,255
4.807,35.0,29.24,255
4.827,35.0,29.29,255
4.847,35.0,29.26,255
4.868,35.0,29.34,255
4.889,35.0,29.25,255
4.909,35.0,29.25,255
4.929,35.0,29.26,255
4.949,35.0,29.28,255
4.969,35.0,29.22,255
4.989,35.0,29.29,255
