Kp_Pos,Ki_Pos,Rise_Time_s,Overshoot_kPa
15.0,800.0,-1,-10.12
15.0,1000.0,-1,-10.27
15.0,1500.0,-1,-11.03
15.0,2000.0,-1,-11.31
20.0,800.0,-1,-11.50
20.0,1000.0,-1,-10.97
20.0,1500.0,-1,-10.45
20.0,2000.0,-1,-10.39
24.0,800.0,-1,-10.37
24.0,1000.0,-1,-10.27
24.0,1500.0,-1,-10.01
24.0,2000.0,-1,-9.54
28.0,800.0,-1,-9.27
28.0,1000.0,-1,-9.00
28.0,1500.0,-1,-8.60
28.0,2000.0,-1,-8.56
