Kp,Ki,Rise_Time_s,Overshoot_kPa
18.0,1500.0,0.9219434261322021,1.19
18.0,1800.0,0.9109756946563721,1.12
18.0,2000.0,0.922459602355957,1.13
18.0,2200.0,0.9241917133331299,1.03
18.0,2500.0,0.9260103702545166,1.02
20.0,1500.0,0.9167215824127197,1.16
20.0,1800.0,0.39611172676086426,1.11
20.0,2000.0,0.5485663414001465,1.51
20.0,2200.0,0.5377626419067383,1.52
20.0,2500.0,0.38945531845092773,1.10
22.0,1500.0,0.4085721969604492,1.23
22.0,1800.0,0.5262453556060791,1.90
22.0,2000.0,0.5192468166351318,1.83
22.0,2200.0,0.3457181453704834,1.16
22.0,2500.0,0.5093941688537598,1.73
