Time,Target,Pressure,PWM
0.000,35.0,0.22,0
0.020,35.0,0.22,0
0.040,35.0,0.21,255
0.060,35.0,0.31,255
0.081,35.0,1.07,255
0.101,35.0,1.88,255
0.121,35.0,2.74,255
0.141,35.0,3.49,255
0.161,35.0,4.19,255
0.181,35.0,4.88,255
0.201,35.0,5.51,255
0.221,35.0,6.13,255
0.241,35.0,6.87,255
0.262,35.0,7.59,255
0.282,35.0,8.19,255
0.302,35.0,8.73,255
0.322,35.0,9.38,255
0.342,35.0,10.05,255
0.362,35.0,10.57,255
0.382,35.0,10.57,255
0.402,35.0,11.11,255
0.423,35.0,11.77,255
0.443,35.0,12.20,255
0.463,35.0,12.79,255
0.483,35.0,13.32,255
0.503,35.0,13.72,255
0.523,35.0,14.28,255
0.544,35.0,14.74,255
0.564,35.0,15.18,255
0.584,35.0,15.68,255
0.604,35.0,16.07,255
0.624,35.0,16.53,255
0.644,35.0,17.00,255
0.664,35.0,17.36,255
0.684,35.0,17.83,255
0.704,35.0,18.13,255
0.724,35.0,18.55,255
0.745,35.0,18.93,255
0.765,35.0,19.35,255
0.785,35.0,19.62,255
0.805,35.0,19.99,255
0.825,35.0,20.32,255
0.845,35.0,20.61,255
0.865,35.0,20.61,255
0.885,35.0,20.96,255
0.906,35.0,21.21,255
0.926,35.0,21.60,255
0.946,35.0,21.81,255
0.966,35.0,22.15,255
0.986,35.0,22.39,255
1.006,35.0,22.64,255
1.026,35.0,22.91,255
1.047,35.0,23.08,255
1.067,35.0,23.42,255
1.087,35.0,23.56,255
1.107,35.0,23.89,255
1.127,35.0,24.03,255
1.147,35.0,24.30,255
1.167,35.0,24.39,255
1.187,35.0,24.66,255
1.207,35.0,24.79,255
1.227,35.0,25.03,255
1.248,35.0,25.20,255
1.268,35.0,25.36,255
1.288,35.0,25.57,255
1.308,35.0,25.66,255
1.329,35.0,25.90,255
1.349,35.0,25.90,255
1.369,35.0,25.99,255
1.389,35.0,26.15,255
1.409,35.0,26.23,255
1.429,35.0,26.43,255
1.450,35.0,26.54,255
1.470,35.0,26.74,255
1.490,35.0,26.79,255
1.510,35.0,26.92,255
1.531,35.0,27.03,255
1.551,35.0,27.14,255
1.571,35.0,27.33,255
1.591,35.0,27.39,255
1.611,35.0,27.53,255
1.631,35.0,27.58,255
1.652,35.0,27.65,255
1.672,35.0,27.70,255
1.692,35.0,27.68,255
1.712,35.0,27.81,255
1.732,35.0,27.79,255
1.752,35.0,27.94,255
1.773,35.0,27.88,255
1.793,35.0,28.02,255
1.813,35.0,28.02,255
1.833,35.0,28.08,255
1.854,35.0,28.15,255
1.875,35.0,28.15,255
1.896,35.0,28.24,255
1.917,35.0,28.22,255
1.937,35.0,28.28,255
1.957,35.0,28.28,255
1.978,35.0,28.28,255
1.998,35.0,28.34,255
2.018,35.0,28.42,255
2.038,35.0,28.41,255
2.059,35.0,28.48,255
2.079,35.0,28.48,255
2.099,35.0,28.46,255
2.119,35.0,28.53,255
2.139,35.0,28.62,255
2.160,35.0,28.63,255
2.180,35.0,28.66,255
2.200,35.0,28.69,255
2.220,35.0,28.68,255
2.240,35.0,28.74,255
2.260,35.0,28.73,255
2.280,35.0,28.81,255
2.300,35.0,28.78,255
2.320,35.0,28.81,255
2.341,35.0,28.88,255
2.361,35.0,28.83,255
2.381,35.0,28.94,255
2.401,35.0,28.92,255
2.421,35.0,28.95,255
2.441,35.0,28.95,255
2.461,35.0,28.94,255
2.482,35.0,28.99,255
2.502,35.0,29.01,255
2.522,35.0,29.02,255
2.542,35.0,29.08,255
2.562,35.0,29.01,255
2.582,35.0,29.08,255
2.603,35.0,29.07,255
2.623,35.0,29.12,255
2.643,35.0,29.14,255
2.663,35.0,29.11,255
2.683,35.0,29.18,255
2.703,35.0,29.14,255
2.723,35.0,29.18,255
2.744,35.0,29.22,255
2.764,35.0,29.24,255
2.784,35.0,29.23,255
2.804,35.0,29.23,255
2.825,35.0,29.42,255
2.845,35.0,29.50,255
2.865,35.0,29.64,255
2.885,35.0,29.94,255
2.905,35.0,30.01,255
2.925,35.0,30.29,124
2.945,35.0,30.29,167
2.966,35.0,30.30,214
2.986,35.0,30.31,255
3.006,35.0,30.31,255
3.026,35.0,30.30,255
3.047,35.0,30.42,255
3.067,35.0,30.50,255
3.087,35.0,30.75,255
3.107,35.0,30.87,255
3.127,35.0,31.06,255
3.147,35.0,31.14,255
3.168,35.0,31.40,255
3.188,35.0,31.46,255
3.208,35.0,31.70,255
3.228,35.0,31.80,255
3.248,35.0,31.96,255
3.268,35.0,32.16,255
3.288,35.0,32.19,255
3.309,35.0,32.43,255
3.329,35.0,32.49,255
3.349,35.0,32.58,255
3.369,35.0,32.79,255
3.389,35.0,32.81,255
3.409,35.0,32.90,255
3.429,35.0,32.90,255
3.450,35.0,32.94,255
3.470,35.0,33.11,255
3.490,35.0,33.32,255
3.510,35.0,33.30,255
3.531,35.0,33.42,255
3.551,35.0,33.46,255
3.571,35.0,33.50,255
3.591,35.0,33.72,255
3.611,35.0,33.68,255
3.631,35.0,33.81,255
3.652,35.0,33.87,255
3.672,35.0,33.89,255
3.692,35.0,34.04,255
3.712,35.0,34.05,255
3.732,35.0,34.13,255
3.752,35.0,34.26,255
3.773,35.0,34.29,255
3.793,35.0,34.31,255
3.814,35.0,34.32,255
3.834,35.0,34.46,255
3.854,35.0,34.46,255
3.874,35.0,34.56,255
3.894,35.0,34.65,255
3.914,35.0,34.58,255
3.935,35.0,34.72,255
3.955,35.0,34.72,255
3.975,35.0,34.67,255
3.995,35.0,34.78,255
4.016,35.0,34.78,255
4.036,35.0,34.78,255
4.056,35.0,34.86,255
4.076,35.0,34.86,255
4.097,35.0,35.00,254
4.117,35.0,34.93,255
4.137,35.0,35.03,254
4.157,35.0,34.96,255
4.177,35.0,35.10,252
4.197,35.0,35.09,251
4.218,35.0,35.09,250
4.238,35.0,35.13,248
4.258,35.0,35.14,247
4.278,35.0,35.17,245
4.298,35.0,35.14,244
4.319,35.0,35.14,244
4.339,35.0,35.17,242
4.359,35.0,35.10,240
4.379,35.0,35.03,240
4.399,35.0,35.04,241
4.419,35.0,35.03,241
4.440,35.0,34.93,240
4.460,35.0,34.93,243
4.480,35.0,34.86,245
4.500,35.0,34.80,248
4.521,35.0,34.78,250
4.541,35.0,34.74,254
4.561,35.0,34.74,255
4.581,35.0,34.79,255
4.601,35.0,34.89,255
4.622,35.0,34.78,255
4.642,35.0,34.89,255
4.662,35.0,34.79,255
4.683,35.0,34.92,255
4.703,35.0,34.93,255
4.723,35.0,34.92,255
4.743,35.0,35.03,254
4.763,35.0,34.99,254
4.783,35.0,35.00,254
4.803,35.0,35.13,254
4.824,35.0,35.04,251
4.844,35.0,35.09,252
4.864,35.0,35.06,250
4.884,35.0,35.06,250
4.904,35.0,35.10,249
4.924,35.0,35.06,249
4.944,35.0,35.06,248
4.965,35.0,35.06,248
4.985,35.0,35.06,247
