Time,Target,Pressure,PWM
0.000,35.0,-0.11,0
0.021,35.0,-0.12,0
0.041,35.0,-0.05,0
0.061,35.0,-0.06,255
0.081,35.0,0.50,255
0.101,35.0,1.40,255
0.121,35.0,2.23,255
0.141,35.0,2.23,255
0.162,35.0,3.03,255
0.182,35.0,3.79,255
0.202,35.0,4.48,255
0.222,35.0,5.14,255
0.243,35.0,5.89,255
0.263,35.0,6.46,255
0.283,35.0,7.19,255
0.303,35.0,8.06,255
0.323,35.0,8.88,255
0.343,35.0,9.64,255
0.363,35.0,10.34,255
0.383,35.0,11.04,255
0.404,35.0,11.88,255
0.424,35.0,12.70,255
0.444,35.0,13.43,255
0.464,35.0,14.12,255
0.484,35.0,14.79,255
0.504,35.0,15.44,255
0.524,35.0,16.04,255
0.544,35.0,16.64,255
0.564,35.0,17.31,255
0.584,35.0,17.31,255
0.605,35.0,18.03,255
0.625,35.0,18.58,255
0.645,35.0,19.23,255
0.665,35.0,19.73,255
0.685,35.0,20.22,255
0.706,35.0,20.70,255
0.726,35.0,21.26,255
0.746,35.0,21.81,255
0.766,35.0,22.37,255
0.786,35.0,22.86,255
0.806,35.0,23.19,255
0.827,35.0,23.62,255
0.847,35.0,24.10,255
0.867,35.0,24.54,255
0.887,35.0,25.03,255
0.907,35.0,25.29,255
0.927,35.0,25.71,255
0.947,35.0,26.15,255
0.967,35.0,26.44,255
0.988,35.0,26.74,255
1.008,35.0,26.74,255
1.028,35.0,27.16,255
1.049,35.0,27.40,255
1.069,35.0,27.71,255
1.089,35.0,28.10,255
1.109,35.0,28.33,255
1.129,35.0,28.59,255
1.149,35.0,28.89,255
1.169,35.0,29.07,255
1.190,35.0,29.19,255
1.210,35.0,29.51,255
1.230,35.0,29.73,255
1.250,35.0,29.85,255
1.270,35.0,30.11,255
1.290,35.0,30.26,151
1.310,35.0,30.31,225
1.330,35.0,30.36,255
1.350,35.0,30.52,255
1.371,35.0,30.60,255
1.391,35.0,30.60,255
1.411,35.0,30.74,255
1.431,35.0,30.91,255
1.451,35.0,30.96,255
1.471,35.0,31.21,255
1.492,35.0,31.36,255
1.512,35.0,31.44,255
1.532,35.0,31.70,255
1.552,35.0,31.81,255
1.572,35.0,31.86,255
1.592,35.0,32.01,255
1.612,35.0,32.15,255
1.632,35.0,32.36,255
1.653,35.0,32.41,255
1.673,35.0,32.56,255
1.693,35.0,32.68,255
1.713,35.0,32.68,255
1.733,35.0,32.83,255
1.753,35.0,32.98,255
1.773,35.0,33.00,255
1.793,35.0,33.14,255
1.814,35.0,33.18,255
1.834,35.0,33.19,255
1.855,35.0,33.38,255
1.875,35.0,33.38,255
1.896,35.0,33.34,255
1.916,35.0,33.46,255
1.936,35.0,33.59,255
1.956,35.0,33.59,255
1.976,35.0,33.73,255
1.996,35.0,33.73,255
2.017,35.0,33.86,255
2.037,35.0,33.86,255
2.057,35.0,33.86,255
2.077,35.0,34.04,255
2.097,35.0,34.06,255
2.118,35.0,34.08,255
2.138,35.0,34.21,255
2.158,35.0,34.14,255
2.178,35.0,34.29,255
2.198,35.0,34.32,255
2.218,35.0,34.25,255
2.239,35.0,34.46,255
2.259,35.0,34.39,255
2.279,35.0,34.50,255
2.300,35.0,34.44,255
2.320,35.0,34.52,255
2.340,35.0,34.64,255
2.360,35.0,34.61,255
2.380,35.0,34.66,255
2.401,35.0,34.71,255
2.421,35.0,34.71,255
2.441,35.0,34.71,255
