Kp_Neg,Ki_Neg,Rise_Time_s,Overshoot_kPa
-60.0,-800.0,-1,19.37
-60.0,-1200.0,-1,19.13
-60.0,-1600.0,-1,19.02
-60.0,-2000.0,-1,19.01
-80.0,-800.0,-1,19.01
-80.0,-1200.0,-1,18.14
-80.0,-1600.0,-1,18.02
-80.0,-2000.0,-1,17.86
-100.0,-800.0,-1,18.03
-100.0,-1200.0,-1,17.77
-100.0,-1600.0,-1,17.69
-100.0,-2000.0,-1,17.59
-120.0,-800.0,-1,17.39
-120.0,-1200.0,-1,17.49
-120.0,-1600.0,-1,17.38
-120.0,-2000.0,-1,17.28
