Time,Target,Pressure,PWM
0.000,35.0,-0.18,0
0.020,35.0,-0.18,0
0.041,35.0,-0.12,255
0.061,35.0,-0.10,255
0.081,35.0,0.53,255
0.101,35.0,1.33,255
0.121,35.0,2.13,255
0.141,35.0,2.94,255
0.161,35.0,3.67,255
0.181,35.0,4.42,255
0.201,35.0,5.09,255
0.222,35.0,5.75,255
0.242,35.0,6.44,255
0.262,35.0,7.24,255
0.282,35.0,7.91,255
0.302,35.0,8.59,255
0.322,35.0,9.25,255
0.342,35.0,9.99,255
0.363,35.0,10.78,255
0.383,35.0,11.49,255
0.403,35.0,11.49,255
0.423,35.0,12.16,255
0.443,35.0,12.79,255
0.463,35.0,13.54,255
0.484,35.0,14.24,255
0.504,35.0,14.91,255
0.524,35.0,15.57,255
0.544,35.0,16.28,255
0.564,35.0,16.94,255
0.584,35.0,17.51,255
0.604,35.0,18.00,255
0.624,35.0,18.59,255
0.644,35.0,19.20,255
0.665,35.0,19.81,255
0.685,35.0,20.39,255
0.705,35.0,20.98,255
0.726,35.0,21.50,255
0.746,35.0,21.94,255
0.766,35.0,22.43,255
0.786,35.0,22.81,255
0.806,35.0,23.39,255
0.826,35.0,23.88,255
0.847,35.0,24.19,255
0.867,35.0,24.56,255
0.887,35.0,24.56,255
0.907,35.0,24.95,255
0.928,35.0,25.41,255
0.948,35.0,25.76,255
0.968,35.0,26.03,255
0.988,35.0,26.46,255
1.008,35.0,26.86,255
1.028,35.0,27.15,255
1.049,35.0,27.35,255
1.069,35.0,27.72,255
1.089,35.0,28.01,255
1.109,35.0,28.14,255
1.129,35.0,28.48,255
1.150,35.0,28.71,255
1.170,35.0,28.94,255
1.190,35.0,29.13,255
1.210,35.0,29.43,255
1.230,35.0,29.58,255
1.251,35.0,29.78,255
1.271,35.0,30.09,255
1.291,35.0,30.13,132
1.311,35.0,30.19,190
1.331,35.0,30.24,247
1.352,35.0,30.33,255
1.373,35.0,30.37,255
1.393,35.0,30.46,255
1.414,35.0,30.58,255
1.434,35.0,30.58,255
1.454,35.0,30.85,255
1.474,35.0,30.91,255
1.494,35.0,31.07,255
1.515,35.0,31.26,255
1.535,35.0,31.36,255
1.555,35.0,31.57,255
1.575,35.0,31.63,255
1.595,35.0,31.92,255
1.616,35.0,31.99,255
1.636,35.0,32.04,255
1.656,35.0,32.23,255
1.676,35.0,32.29,255
1.696,35.0,32.38,255
1.716,35.0,32.58,255
1.737,35.0,32.53,255
1.757,35.0,32.69,255
1.777,35.0,32.80,255
1.797,35.0,32.83,255
1.817,35.0,32.99,255
1.837,35.0,33.06,255
1.857,35.0,33.03,255
1.877,35.0,33.20,255
1.898,35.0,33.29,255
1.918,35.0,33.37,255
1.938,35.0,33.37,255
1.958,35.0,33.42,255
1.979,35.0,33.45,255
1.999,35.0,33.61,255
2.019,35.0,33.55,255
2.039,35.0,33.61,255
2.060,35.0,33.79,255
2.080,35.0,33.79,255
2.100,35.0,33.89,255
2.120,35.0,33.89,255
2.140,35.0,33.88,255
2.160,35.0,34.01,255
2.180,35.0,34.03,255
2.200,35.0,34.05,255
2.221,35.0,34.19,255
2.241,35.0,34.14,255
2.261,35.0,34.26,255
2.281,35.0,34.19,255
2.301,35.0,34.33,255
2.322,35.0,34.33,255
2.342,35.0,34.34,255
2.362,35.0,34.43,255
2.382,35.0,34.40,255
2.403,35.0,34.54,255
2.423,35.0,34.54,255
2.443,35.0,34.54,255
2.463,35.0,34.50,255
2.484,35.0,34.65,255
2.504,35.0,34.54,255
2.524,35.0,34.64,255
2.544,35.0,34.68,255
2.565,35.0,34.61,255
2.585,35.0,34.73,255
2.605,35.0,34.72,255
2.625,35.0,34.80,255
2.645,35.0,34.74,255
2.665,35.0,34.86,255
2.685,35.0,34.88,255
2.705,35.0,34.85,255
2.726,35.0,34.94,255
2.746,35.0,34.81,255
2.766,35.0,34.93,255
2.786,35.0,34.91,255
2.806,35.0,34.93,255
2.826,35.0,34.99,255
2.847,35.0,34.93,255
2.867,35.0,34.93,255
2.887,35.0,35.04,253
2.907,35.0,35.03,253
2.927,35.0,35.17,249
2.948,35.0,35.03,251
2.968,35.0,35.12,248
2.988,35.0,35.08,248
3.008,35.0,35.08,247
3.028,35.0,35.07,246
3.048,35.0,35.06,246
3.069,35.0,35.05,245
3.089,35.0,35.05,245
3.109,35.0,35.01,245
3.129,35.0,34.98,246
3.149,35.0,34.98,246
3.169,35.0,34.96,246
3.189,35.0,34.97,247
3.209,35.0,34.91,247
3.230,35.0,34.86,249
3.250,35.0,34.76,251
3.270,35.0,34.76,255
3.290,35.0,34.88,255
3.310,35.0,34.83,255
3.330,35.0,34.81,255
3.351,35.0,34.84,255
3.371,35.0,34.92,255
3.391,35.0,34.83,255
3.411,35.0,34.94,255
3.431,35.0,34.88,255
3.452,35.0,34.93,255
3.472,35.0,34.98,255
3.492,35.0,34.89,255
3.512,35.0,35.03,254
3.532,35.0,34.95,255
3.552,35.0,34.99,255
3.573,35.0,35.02,254
3.593,35.0,35.12,251
3.613,35.0,35.04,252
3.633,35.0,35.00,252
3.653,35.0,35.05,252
3.673,35.0,35.11,251
3.693,35.0,35.06,249
3.713,35.0,35.03,249
3.733,35.0,35.01,249
3.754,35.0,35.02,249
3.774,35.0,35.02,249
3.794,35.0,35.01,249
3.814,35.0,35.02,248
3.834,35.0,35.03,248
3.855,35.0,34.99,249
3.875,35.0,35.02,248
3.895,35.0,34.99,249
3.915,35.0,34.99,249
3.936,35.0,34.95,250
3.956,35.0,34.96,250
3.976,35.0,34.93,252
3.996,35.0,34.89,253
4.016,35.0,34.86,255
4.036,35.0,34.95,255
4.056,35.0,34.89,255
4.077,35.0,34.89,255
4.097,35.0,34.93,255
4.117,35.0,34.96,255
4.137,35.0,34.89,255
4.158,35.0,34.99,255
4.178,35.0,34.99,255
4.198,35.0,34.96,255
4.218,35.0,34.99,255
4.239,35.0,35.03,254
4.259,35.0,34.97,255
4.279,35.0,35.05,253
4.300,35.0,35.00,254
4.320,35.0,35.00,254
4.340,35.0,35.11,251
4.360,35.0,35.01,252
4.380,35.0,35.03,252
4.400,35.0,35.06,250
4.420,35.0,34.99,252
4.441,35.0,35.10,249
4.461,35.0,35.04,249
4.481,35.0,35.10,247
4.501,35.0,35.04,248
4.521,35.0,35.06,248
4.541,35.0,35.03,247
4.561,35.0,35.03,247
4.581,35.0,35.09,246
4.602,35.0,34.92,244
4.622,35.0,34.96,248
4.642,35.0,34.96,248
4.662,35.0,34.91,250
4.682,35.0,34.90,251
4.703,35.0,34.86,254
4.723,35.0,34.89,254
4.743,35.0,34.85,255
4.764,35.0,34.86,255
4.784,35.0,34.88,255
4.804,35.0,34.83,255
4.824,35.0,34.87,255
4.844,35.0,34.81,255
4.864,35.0,34.91,255
4.884,35.0,34.89,255
4.904,35.0,34.90,255
4.925,35.0,34.88,255
4.945,35.0,34.96,255
4.965,35.0,35.02,254
4.985,35.0,34.95,255
