Kp,Ki,Rise_Time_s,Overshoot_kPa
35.0,2500.0,3.0682904720306396,-1.34
35.0,3000.0,2.441558837890625,-1.63
35.0,3500.0,2.2030389308929443,-1.33
35.0,4000.0,-1,-2.13
40.0,2500.0,2.582943916320801,-1.74
40.0,3000.0,2.7260665893554688,-1.39
40.0,3500.0,2.7672412395477295,-1.75
40.0,4000.0,2.418760061264038,-1.53
45.0,2500.0,2.8062896728515625,-1.44
45.0,3000.0,2.6194889545440674,-1.65
45.0,3500.0,2.6803789138793945,-1.58
45.0,4000.0,2.948751211166382,-1.84
50.0,2500.0,-1,-7.82
50.0,3000.0,-1,-7.12
50.0,3500.0,-1,-2.29
50.0,4000.0,2.318122148513794,-1.43
