Time,Target,Pressure,PWM
0.000,35.0,0.31,0
0.020,35.0,0.31,0
0.040,35.0,0.30,255
0.061,35.0,0.29,255
0.081,35.0,0.85,255
0.101,35.0,1.71,255
0.121,35.0,2.53,255
0.141,35.0,3.30,255
0.161,35.0,4.04,255
0.181,35.0,4.73,255
0.201,35.0,4.73,255
0.222,35.0,5.39,255
0.242,35.0,6.02,255
0.262,35.0,6.68,255
0.282,35.0,7.37,255
0.302,35.0,8.07,255
0.323,35.0,8.68,255
0.343,35.0,9.26,255
0.363,35.0,9.81,255
0.383,35.0,10.48,255
0.403,35.0,11.06,255
0.424,35.0,11.60,255
0.444,35.0,12.07,255
0.464,35.0,12.72,255
0.484,35.0,13.15,255
0.504,35.0,13.68,255
0.524,35.0,14.21,255
0.544,35.0,14.64,255
0.565,35.0,15.13,255
0.585,35.0,15.64,255
0.605,35.0,16.04,255
0.625,35.0,16.04,255
0.645,35.0,16.64,255
0.665,35.0,17.05,255
0.685,35.0,17.51,255
0.705,35.0,17.84,255
0.726,35.0,18.30,255
0.746,35.0,18.69,255
0.766,35.0,18.98,255
0.786,35.0,19.46,255
0.806,35.0,19.76,255
0.826,35.0,20.13,255
0.847,35.0,20.39,255
0.867,35.0,20.75,255
0.887,35.0,21.09,255
0.907,35.0,21.40,255
0.927,35.0,21.76,255
0.948,35.0,21.96,255
0.968,35.0,22.29,255
0.988,35.0,22.56,255
1.008,35.0,22.56,255
1.028,35.0,22.83,255
1.049,35.0,23.12,255
1.069,35.0,23.29,255
1.089,35.0,23.59,255
1.109,35.0,23.78,255
1.130,35.0,23.94,255
1.150,35.0,24.21,255
1.170,35.0,24.44,255
1.190,35.0,24.66,255
1.210,35.0,24.81,255
1.230,35.0,25.11,255
1.250,35.0,25.24,255
1.271,35.0,25.43,255
1.291,35.0,25.61,255
1.311,35.0,25.73,255
1.331,35.0,25.97,255
1.351,35.0,26.09,255
1.371,35.0,26.28,255
1.391,35.0,26.40,255
1.411,35.0,26.52,255
1.431,35.0,26.74,255
1.452,35.0,26.83,255
1.473,35.0,26.98,255
1.494,35.0,27.05,255
1.515,35.0,27.23,255
1.535,35.0,27.23,255
1.555,35.0,27.34,255
1.575,35.0,27.43,255
1.595,35.0,27.58,255
1.615,35.0,27.63,255
1.636,35.0,27.77,255
1.656,35.0,27.88,255
1.676,35.0,27.89,255
1.696,35.0,28.05,255
1.716,35.0,28.09,255
1.736,35.0,28.18,255
1.756,35.0,28.26,255
1.776,35.0,28.23,255
1.797,35.0,28.38,255
1.817,35.0,28.33,255
1.837,35.0,28.43,255
1.857,35.0,28.43,255
1.877,35.0,28.46,255
1.897,35.0,28.57,255
1.917,35.0,28.51,255
1.937,35.0,28.59,255
1.957,35.0,28.64,255
1.978,35.0,28.63,255
1.998,35.0,28.70,255
2.019,35.0,28.70,255
2.039,35.0,28.68,255
2.059,35.0,28.71,255
2.079,35.0,28.78,255
2.099,35.0,28.75,255
2.120,35.0,28.84,255
2.140,35.0,28.78,255
2.160,35.0,28.89,255
2.180,35.0,28.88,255
2.201,35.0,28.92,255
2.221,35.0,28.93,255
2.241,35.0,28.91,255
2.261,35.0,29.01,255
2.281,35.0,29.01,255
2.301,35.0,29.00,255
2.321,35.0,29.06,255
2.341,35.0,29.02,255
2.362,35.0,29.09,255
2.382,35.0,29.14,255
2.402,35.0,29.09,255
2.422,35.0,29.18,255
2.443,35.0,29.16,255
2.463,35.0,29.23,255
2.483,35.0,29.17,255
2.503,35.0,29.18,255
2.524,35.0,29.24,255
2.545,35.0,29.22,255
2.565,35.0,29.30,255
2.585,35.0,29.30,255
2.605,35.0,29.24,255
2.626,35.0,29.25,255
2.646,35.0,29.31,255
2.666,35.0,29.29,255
2.686,35.0,29.34,255
2.706,35.0,29.32,255
2.727,35.0,29.31,255
2.747,35.0,29.38,255
2.767,35.0,29.33,255
2.787,35.0,29.42,255
2.807,35.0,29.36,255
2.828,35.0,29.43,255
2.848,35.0,29.44,255
2.868,35.0,29.41,255
2.888,35.0,29.45,255
2.908,35.0,29.42,255
2.929,35.0,29.49,255
2.949,35.0,29.48,255
2.969,35.0,29.43,255
2.989,35.0,29.49,255
3.009,35.0,29.49,255
3.029,35.0,29.49,255
3.049,35.0,29.49,255
3.070,35.0,29.43,255
3.090,35.0,29.53,255
3.111,35.0,29.53,255
3.131,35.0,29.51,255
3.151,35.0,29.53,255
3.171,35.0,29.51,255
3.191,35.0,29.52,255
3.212,35.0,29.58,255
3.232,35.0,29.51,255
3.252,35.0,29.51,255
3.272,35.0,29.56,255
3.293,35.0,29.51,255
3.313,35.0,29.58,255
3.333,35.0,29.51,255
3.353,35.0,29.51,255
3.373,35.0,29.58,255
3.393,35.0,29.53,255
3.413,35.0,29.59,255
3.434,35.0,29.51,255
3.454,35.0,29.48,255
3.474,35.0,29.56,255
3.494,35.0,29.54,255
3.514,35.0,29.59,255
3.534,35.0,29.51,255
3.555,35.0,29.61,255
3.575,35.0,29.63,255
3.595,35.0,29.53,255
3.616,35.0,29.58,255
3.636,35.0,29.58,255
3.656,35.0,29.56,255
3.676,35.0,29.59,255
3.696,35.0,29.63,255
3.716,35.0,29.56,255
3.737,35.0,29.58,255
3.757,35.0,29.56,255
3.777,35.0,29.58,255
3.797,35.0,29.60,255
3.818,35.0,29.53,255
3.838,35.0,29.65,255
3.858,35.0,29.53,255
3.878,35.0,29.60,255
3.898,35.0,29.58,255
3.919,35.0,29.56,255
3.939,35.0,29.64,255
