Time,Target,Pressure,PWM
0.000,35.0,0.54,0
0.022,35.0,0.54,0
0.042,35.0,0.54,255
0.062,35.0,0.56,255
0.082,35.0,1.11,255
0.102,35.0,1.91,255
0.122,35.0,2.69,255
0.142,35.0,3.43,255
0.163,35.0,4.16,255
0.183,35.0,4.16,255
0.203,35.0,4.94,255
0.223,35.0,5.65,255
0.244,35.0,6.36,255
0.264,35.0,7.08,255
0.284,35.0,7.70,255
0.304,35.0,8.28,255
0.325,35.0,8.89,255
0.345,35.0,9.50,255
0.365,35.0,10.16,255
0.385,35.0,10.96,255
0.405,35.0,11.70,255
0.425,35.0,12.39,255
0.446,35.0,13.25,255
0.466,35.0,13.96,255
0.486,35.0,14.64,255
0.506,35.0,15.31,255
0.526,35.0,16.02,255
0.547,35.0,16.63,255
0.567,35.0,17.28,255
0.587,35.0,17.88,255
0.607,35.0,18.49,255
0.627,35.0,19.00,255
0.647,35.0,19.53,255
0.668,35.0,20.02,255
0.688,35.0,20.60,255
0.709,35.0,21.11,255
0.729,35.0,21.11,255
0.749,35.0,21.66,255
0.769,35.0,22.19,255
0.790,35.0,22.57,255
0.810,35.0,23.00,255
0.830,35.0,23.58,255
0.851,35.0,24.03,255
0.871,35.0,24.39,255
0.891,35.0,24.76,255
0.911,35.0,25.19,255
0.931,35.0,25.66,255
0.951,35.0,25.94,255
0.972,35.0,26.26,255
0.992,35.0,26.70,255
1.012,35.0,27.08,255
1.032,35.0,27.27,255
1.052,35.0,27.63,255
1.072,35.0,27.97,255
1.092,35.0,28.16,255
1.112,35.0,28.51,255
1.132,35.0,28.74,255
1.153,35.0,28.84,255
1.173,35.0,29.21,255
1.193,35.0,29.21,255
1.213,35.0,29.40,255
1.234,35.0,29.54,255
1.254,35.0,29.87,255
1.274,35.0,30.00,144
1.294,35.0,30.17,210
1.315,35.0,30.28,255
1.335,35.0,30.29,255
1.355,35.0,30.39,255
1.375,35.0,30.52,255
1.395,35.0,30.66,255
1.415,35.0,30.77,255
1.435,35.0,30.91,255
1.456,35.0,31.08,255
1.476,35.0,31.30,255
1.496,35.0,31.35,255
1.516,35.0,31.61,255
1.536,35.0,31.73,255
1.556,35.0,31.84,255
1.576,35.0,32.01,255
1.597,35.0,32.09,255
1.617,35.0,32.09,255
1.637,35.0,32.32,255
1.658,35.0,32.41,255
1.678,35.0,32.46,255
1.698,35.0,32.64,255
1.718,35.0,32.67,255
1.738,35.0,32.83,255
1.758,35.0,32.92,255
1.778,35.0,33.04,255
1.798,35.0,33.08,255
1.819,35.0,33.11,255
1.839,35.0,33.33,255
1.859,35.0,33.28,255
1.879,35.0,33.43,255
1.899,35.0,33.54,255
1.919,35.0,33.58,255
1.939,35.0,33.58,255
1.959,35.0,33.70,255
1.980,35.0,33.65,255
2.000,35.0,33.79,255
2.020,35.0,33.86,255
2.040,35.0,33.86,255
2.061,35.0,33.99,255
2.081,35.0,33.99,255
2.101,35.0,34.13,255
2.121,35.0,34.09,255
2.141,35.0,34.21,255
2.161,35.0,34.26,255
2.181,35.0,34.23,255
2.201,35.0,34.39,255
2.222,35.0,34.33,255
2.242,35.0,34.44,255
2.262,35.0,34.44,255
2.282,35.0,34.46,255
2.302,35.0,34.54,255
2.322,35.0,34.54,255
2.342,35.0,34.53,255
2.362,35.0,34.71,255
2.383,35.0,34.68,255
2.403,35.0,34.66,255
2.423,35.0,34.84,255
2.443,35.0,34.78,255
2.464,35.0,34.86,255
2.484,35.0,34.79,255
2.504,35.0,34.93,255
2.524,35.0,34.92,255
2.544,35.0,34.91,255
2.564,35.0,34.99,255
2.585,35.0,34.88,255
2.605,35.0,35.01,254
2.625,35.0,35.02,254
2.645,35.0,35.08,252
2.665,35.0,35.06,251
2.685,35.0,35.09,251
2.705,35.0,35.09,250
2.726,35.0,35.10,248
2.746,35.0,35.07,247
2.766,35.0,35.06,246
2.786,35.0,35.09,245
2.807,35.0,35.09,244
2.827,35.0,35.09,243
2.847,35.0,35.09,241
2.867,35.0,35.09,240
2.887,35.0,35.04,240
2.908,35.0,35.03,240
2.928,35.0,34.97,241
2.948,35.0,34.91,243
2.968,35.0,34.86,246
2.989,35.0,34.80,250
3.009,35.0,34.80,253
3.029,35.0,34.79,255
3.049,35.0,34.77,255
3.069,35.0,34.85,255
3.089,35.0,34.85,255
3.110,35.0,34.85,255
3.130,35.0,34.74,255
3.150,35.0,34.88,255
3.170,35.0,34.88,255
3.191,35.0,34.94,255
3.211,35.0,34.99,255
3.231,35.0,34.92,255
3.251,35.0,35.03,255
3.271,35.0,34.99,254
3.291,35.0,35.03,254
3.311,35.0,35.05,254
3.331,35.0,35.13,252
3.352,35.0,35.06,250
3.372,35.0,35.06,250
3.392,35.0,35.10,248
3.412,35.0,35.16,245
3.433,35.0,35.12,244
3.453,35.0,35.18,240
3.473,35.0,35.13,239
3.493,35.0,35.07,239
3.513,35.0,35.04,239
3.533,35.0,34.93,242
3.553,35.0,34.89,244
3.574,35.0,34.86,246
3.594,35.0,34.82,249
3.614,35.0,34.82,252
3.634,35.0,34.83,254
3.654,35.0,34.79,255
3.674,35.0,34.90,255
3.694,35.0,34.85,255
3.715,35.0,34.86,255
3.735,35.0,34.85,255
3.755,35.0,34.89,255
3.775,35.0,34.91,255
3.795,35.0,34.99,255
3.815,35.0,34.99,255
3.836,35.0,34.94,255
3.856,35.0,35.09,252
3.876,35.0,35.04,252
3.896,35.0,35.05,251
3.916,35.0,35.14,248
3.936,35.0,35.08,248
3.956,35.0,35.04,248
3.977,35.0,35.04,247
3.997,35.0,35.05,246
4.017,35.0,35.09,245
4.037,35.0,35.08,243
4.057,35.0,35.13,241
4.077,35.0,35.09,240
4.097,35.0,35.02,241
4.117,35.0,34.99,242
4.137,35.0,34.99,242
4.158,35.0,34.93,242
4.178,35.0,34.92,244
4.198,35.0,34.86,245
4.218,35.0,34.83,248
4.238,35.0,34.83,251
4.259,35.0,34.78,253
4.279,35.0,34.80,255
4.299,35.0,34.80,255
4.319,35.0,34.76,255
4.339,35.0,34.86,255
4.360,35.0,34.75,255
4.380,35.0,34.88,255
4.400,35.0,34.86,255
4.420,35.0,34.92,255
4.440,35.0,34.88,255
4.461,35.0,34.95,255
4.481,35.0,35.01,254
4.501,35.0,34.96,255
4.521,35.0,35.04,253
4.541,35.0,35.04,253
4.561,35.0,35.11,250
4.582,35.0,35.13,248
