Kp,Ki,Rise_Time_s,Overshoot_kPa
15.0,800.0,-1,-5.53
15.0,1000.0,-1,-5.46
15.0,1200.0,-1,-5.69
15.0,1500.0,-1,-5.63
18.0,800.0,-1,-5.97
18.0,1000.0,-1,-5.89
18.0,1200.0,-1,-5.31
18.0,1500.0,-1,-4.33
21.0,800.0,-1,-5.85
21.0,1000.0,-1,-5.71
21.0,1200.0,1.9161336421966553,0.11
21.0,1500.0,1.9183776378631592,0.04
24.0,800.0,3.228015422821045,-0.41
24.0,1000.0,1.8574044704437256,0.09
24.0,1200.0,1.7750847339630127,0.10
24.0,1500.0,1.7144389152526855,0.09
