Time,Target,Pressure,PWM
0.000,35.0,1.63,0
0.020,35.0,1.63,0
0.040,35.0,1.63,255
0.060,35.0,2.43,255
0.081,35.0,5.61,255
0.101,35.0,6.40,255
0.121,35.0,6.94,255
0.141,35.0,7.68,255
0.161,35.0,8.25,255
0.181,35.0,8.74,255
0.201,35.0,9.41,255
0.222,35.0,10.01,255
0.242,35.0,10.48,255
0.262,35.0,11.04,255
0.282,35.0,11.62,255
0.302,35.0,12.06,255
0.322,35.0,12.56,255
0.342,35.0,13.11,255
0.362,35.0,13.48,255
0.383,35.0,13.99,255
0.403,35.0,14.44,255
0.424,35.0,14.44,255
0.444,35.0,14.80,255
0.464,35.0,15.24,255
0.484,35.0,15.63,255
0.504,35.0,16.07,255
0.525,35.0,16.38,255
0.545,35.0,16.87,255
0.565,35.0,17.16,255
0.585,35.0,17.58,255
0.605,35.0,17.91,255
0.625,35.0,18.21,255
0.645,35.0,18.59,255
0.666,35.0,18.83,255
0.686,35.0,19.25,255
0.706,35.0,19.44,255
0.726,35.0,19.83,255
0.746,35.0,20.04,255
0.766,35.0,20.41,255
0.786,35.0,20.65,255
0.806,35.0,20.96,255
0.826,35.0,21.15,255
0.847,35.0,21.44,255
0.867,35.0,21.62,255
0.887,35.0,21.91,255
0.907,35.0,22.09,255
0.927,35.0,22.09,255
0.948,35.0,22.36,255
0.968,35.0,22.59,255
0.988,35.0,22.76,255
1.008,35.0,22.99,255
1.029,35.0,23.16,255
1.049,35.0,23.41,255
1.069,35.0,23.53,255
1.089,35.0,23.79,255
1.109,35.0,23.92,255
1.130,35.0,24.08,255
1.150,35.0,24.17,255
1.170,35.0,24.39,255
1.190,35.0,24.48,255
1.210,35.0,24.71,255
1.230,35.0,24.77,255
1.250,35.0,25.01,255
1.271,35.0,25.09,255
1.291,35.0,25.28,255
1.311,35.0,25.37,255
1.331,35.0,25.46,255
1.351,35.0,25.64,255
1.371,35.0,25.68,255
1.391,35.0,25.86,255
1.411,35.0,25.91,255
1.432,35.0,25.91,255
1.452,35.0,26.04,255
1.472,35.0,26.12,255
1.492,35.0,26.32,255
1.512,35.0,26.30,255
1.532,35.0,26.47,255
1.552,35.0,26.51,255
1.573,35.0,26.63,255
1.593,35.0,26.65,255
1.613,35.0,26.73,255
1.633,35.0,26.85,255
1.653,35.0,26.87,255
1.673,35.0,27.04,255
1.693,35.0,27.04,255
1.713,35.0,27.18,255
1.734,35.0,27.21,255
1.754,35.0,27.31,255
1.774,35.0,27.36,255
1.794,35.0,27.43,255
1.814,35.0,27.43,255
1.834,35.0,27.54,255
1.854,35.0,27.56,255
1.874,35.0,27.63,255
1.895,35.0,27.70,255
1.915,35.0,27.70,255
1.935,35.0,27.71,255
1.955,35.0,27.81,255
1.975,35.0,27.76,255
1.995,35.0,27.88,255
2.016,35.0,27.89,255
2.036,35.0,27.95,255
2.056,35.0,27.96,255
2.077,35.0,28.06,255
2.097,35.0,28.10,255
2.117,35.0,28.08,255
2.137,35.0,28.16,255
2.157,35.0,28.18,255
2.177,35.0,28.25,255
2.197,35.0,28.24,255
2.218,35.0,28.38,255
2.238,35.0,28.34,255
2.258,35.0,28.40,255
2.278,35.0,28.39,255
2.298,35.0,28.43,255
2.318,35.0,28.45,255
2.338,35.0,28.45,255
2.358,35.0,28.58,255
2.378,35.0,28.50,255
2.399,35.0,28.64,255
2.420,35.0,28.61,255
2.440,35.0,28.61,255
2.460,35.0,28.65,255
2.480,35.0,28.63,255
2.500,35.0,28.69,255
2.521,35.0,28.69,255
2.541,35.0,28.75,255
2.561,35.0,28.77,255
2.581,35.0,28.78,255
2.602,35.0,28.83,255
2.622,35.0,28.76,255
2.642,35.0,28.85,255
2.662,35.0,28.83,255
2.682,35.0,28.90,255
2.702,35.0,28.89,255
2.723,35.0,28.94,255
2.743,35.0,28.96,255
2.763,35.0,28.94,255
2.783,35.0,28.91,255
2.803,35.0,28.94,255
2.823,35.0,28.98,255
2.843,35.0,28.98,255
2.864,35.0,29.04,255
2.884,35.0,29.00,255
2.904,35.0,29.06,255
2.925,35.0,29.03,255
2.946,35.0,29.05,255
2.966,35.0,29.05,255
2.986,35.0,29.09,255
3.006,35.0,29.05,255
3.026,35.0,29.16,255
3.046,35.0,29.07,255
3.067,35.0,29.18,255
3.087,35.0,29.11,255
3.107,35.0,29.11,255
3.127,35.0,29.09,255
3.147,35.0,29.20,255
3.167,35.0,29.15,255
3.188,35.0,29.18,255
3.208,35.0,29.23,255
3.228,35.0,29.16,255
3.248,35.0,29.24,255
3.268,35.0,29.16,255
3.288,35.0,29.23,255
3.308,35.0,29.23,255
3.328,35.0,29.24,255
3.349,35.0,29.29,255
3.369,35.0,29.23,255
3.389,35.0,29.24,255
3.409,35.0,29.23,255
3.429,35.0,29.29,255
3.450,35.0,29.27,255
3.470,35.0,29.27,255
3.490,35.0,29.26,255
3.510,35.0,29.25,255
3.531,35.0,29.24,255
3.551,35.0,29.31,255
3.571,35.0,29.24,255
3.591,35.0,29.36,255
3.612,35.0,29.26,255
3.632,35.0,29.33,255
3.652,35.0,29.29,255
3.672,35.0,29.29,255
3.692,35.0,29.32,255
3.713,35.0,29.31,255
3.733,35.0,29.37,255
3.753,35.0,29.34,255
3.773,35.0,29.34,255
3.793,35.0,29.29,255
3.813,35.0,29.35,255
3.833,35.0,29.31,255
3.853,35.0,29.36,255
3.873,35.0,29.37,255
3.894,35.0,29.34,255
3.914,35.0,29.37,255
3.934,35.0,29.30,255
3.954,35.0,29.35,255
3.975,35.0,29.37,255
3.996,35.0,29.35,255
