mode,pwm_input,pressure_kpa,timestamp
inflation,110,26.000011444091797,1769108526.2162428
inflation,115,30.975008010864258,1769108529.2267294
inflation,120,31.618762969970703,1769108532.2390747
inflation,125,31.150007247924805,1769108535.2407856
inflation,130,32.51251220703125,1769108538.2481282
inflation,135,32.925010681152344,1769108541.2550256
inflation,140,33.08125686645508,1769108544.2623916
inflation,145,33.67500305175781,1769108547.272274
inflation,150,34.006263732910156,1769108550.2838917
inflation,155,34.98126220703125,1769108553.286672
inflation,160,28.006256103515625,1769108556.2957573
inflation,165,28.681255340576172,1769108559.3053246
inflation,170,23.537506103515625,1769108562.3144238
inflation,175,32.631256103515625,1769108565.3248544
inflation,180,37.83750534057617,1769108568.3406074
inflation,185,34.45625305175781,1769108571.3432407
inflation,190,32.03750991821289,1769108574.3566039
inflation,195,32.12500762939453,1769108577.3667438
inflation,200,32.21250915527344,1769108580.3756065
inflation,205,32.52500534057617,1769108583.3835127
inflation,210,32.6187629699707,1769108586.3969455
inflation,215,32.67500305175781,1769108589.4052494
inflation,220,32.84375762939453,1769108592.4138055
inflation,225,32.975006103515625,1769108595.4242632
inflation,230,33.04375457763672,1769108598.4370577
inflation,235,31.987512588500977,1769108601.4464912
inflation,240,32.218753814697266,1769108604.4541507
inflation,245,32.5312614440918,1769108607.464602
inflation,250,32.668758392333984,1769108610.4663184
inflation,255,33.11250305175781,1769108613.4703238
suction,110,-7.524991035461426,1769108626.2439528
suction,115,-9.512495994567871,1769108629.2521842
suction,120,-11.012495040893555,1769108632.2525094
suction,125,-12.168741226196289,1769108635.265195
suction,130,-13.13124942779541,1769108638.2661664
suction,135,-14.32499885559082,1769108641.2792594
suction,140,-15.174997329711914,1769108644.2871432
suction,145,-15.831244468688965,1769108647.2998219
suction,150,-16.443740844726562,1769108650.3094203
suction,155,-17.11249351501465,1769108653.3186224
suction,160,-17.33749008178711,1769108656.3329537
suction,165,-18.556249618530273,1769108659.3420086
suction,170,-18.687498092651367,1769108662.351003
suction,175,-18.75624656677246,1769108665.3582702
suction,180,-18.649995803833008,1769108668.3677092
suction,185,-18.887496948242188,1769108671.3774068
suction,190,-19.068742752075195,1769108674.3888934
suction,195,-19.112491607666016,1769108677.396089
suction,200,-16.824996948242188,1769108680.404386
suction,205,-19.606245040893555,1769108683.4139307
suction,210,-17.987489700317383,1769108686.4226832
suction,215,-18.143749237060547,1769108689.43343
suction,220,-18.281246185302734,1769108692.4417021
suction,225,-18.299997329711914,1769108695.4538236
suction,230,-18.506240844726562,1769108698.4667914
suction,235,-19.17499351501465,1769108701.4771507
suction,240,-19.362497329711914,1769108704.4881907
suction,245,-19.506240844726562,1769108707.5010083
suction,250,-19.22498893737793,1769108710.514487
suction,255,-19.449996948242188,1769108713.5293975
